fiscal_year,dept,prof_simp,F,M,college,id,ndisplay,isone
2011,ag education/st,assoc prof,1,1,college of agriculture & life sciences,Both Genders Present,2,>1
2011,ag education/st,asst prof,NA,4,college of agriculture & life sciences,All Males,4,>1
2011,ag education/st,prof,NA,2,college of agriculture & life sciences,All Males,2,>1
2011,ag education/st,awarded prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,ag exp stn adm,assoc prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,ag exp stn adm,asst prof,NA,1,college of agriculture & life sciences,All Males,1,1
2011,ag exp stn adm,prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,ag exp stn adm,awarded prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,ag/biosys eng,assoc prof,1,9,college of agriculture & life sciences,Both Genders Present,10,>1
2011,ag/biosys eng,asst prof,1,3,college of agriculture & life sciences,Both Genders Present,4,>1
2011,ag/biosys eng,prof,NA,7,college of agriculture & life sciences,All Males,7,>1
2011,ag/biosys eng,awarded prof,NA,2,college of agriculture & life sciences,All Males,2,>1
2011,agronomy,assoc prof,NA,4,college of agriculture & life sciences,All Males,4,>1
2011,agronomy,asst prof,2,2,college of agriculture & life sciences,Both Genders Present,4,>1
2011,agronomy,prof,3,26,college of agriculture & life sciences,Both Genders Present,29,>1
2011,agronomy,awarded prof,NA,3,college of agriculture & life sciences,All Males,3,>1
2011,animal science,assoc prof,3,6,college of agriculture & life sciences,Both Genders Present,9,>1
2011,animal science,asst prof,2,4,college of agriculture & life sciences,Both Genders Present,6,>1
2011,animal science,prof,3,22,college of agriculture & life sciences,Both Genders Present,25,>1
2011,animal science,awarded prof,1,4,college of agriculture & life sciences,Both Genders Present,5,>1
2011,card,assoc prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,card,asst prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,card,prof,NA,1,college of agriculture & life sciences,All Males,1,1
2011,card,awarded prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,entomology,assoc prof,1,2,college of agriculture & life sciences,Both Genders Present,3,>1
2011,entomology,asst prof,1,1,college of agriculture & life sciences,Both Genders Present,2,>1
2011,entomology,prof,1,3,college of agriculture & life sciences,Both Genders Present,4,>1
2011,entomology,awarded prof,NA,1,college of agriculture & life sciences,All Males,1,1
2011,horticulture,assoc prof,1,3,college of agriculture & life sciences,Both Genders Present,4,>1
2011,horticulture,asst prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,horticulture,prof,1,4,college of agriculture & life sciences,Both Genders Present,5,>1
2011,horticulture,awarded prof,1,1,college of agriculture & life sciences,Both Genders Present,2,>1
2011,leopold center,assoc prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,leopold center,asst prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,leopold center,prof,NA,1,college of agriculture & life sciences,All Males,1,1
2011,leopold center,awarded prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,nat res ecl/mgt,assoc prof,2,3,college of agriculture & life sciences,Both Genders Present,5,>1
2011,nat res ecl/mgt,asst prof,2,3,college of agriculture & life sciences,Both Genders Present,5,>1
2011,nat res ecl/mgt,prof,1,2,college of agriculture & life sciences,Both Genders Present,3,>1
2011,nat res ecl/mgt,awarded prof,NA,1,college of agriculture & life sciences,All Males,1,1
2011,pl path & micro,assoc prof,1,2,college of agriculture & life sciences,Both Genders Present,3,>1
2011,pl path & micro,asst prof,1,NA,college of agriculture & life sciences,All Females,1,1
2011,pl path & micro,prof,1,9,college of agriculture & life sciences,Both Genders Present,10,>1
2011,pl path & micro,awarded prof,NA,NA,college of agriculture & life sciences,No One,NA,>1
2011,accounting,assoc prof,2,1,college of business,Both Genders Present,3,>1
2011,accounting,asst prof,1,4,college of business,Both Genders Present,5,>1
2011,accounting,prof,1,NA,college of business,All Females,1,1
2011,accounting,awarded prof,NA,NA,college of business,No One,NA,>1
2011,finance,assoc prof,1,1,college of business,Both Genders Present,2,>1
2011,finance,asst prof,3,4,college of business,Both Genders Present,7,>1
2011,finance,prof,NA,3,college of business,All Males,3,>1
2011,finance,awarded prof,NA,1,college of business,All Males,1,1
2011,management,assoc prof,1,3,college of business,Both Genders Present,4,>1
2011,management,asst prof,1,2,college of business,Both Genders Present,3,>1
2011,management,prof,NA,1,college of business,All Males,1,1
2011,management,awarded prof,1,3,college of business,Both Genders Present,4,>1
2011,marketing,assoc prof,NA,2,college of business,All Males,2,>1
2011,marketing,asst prof,3,3,college of business,Both Genders Present,6,>1
2011,marketing,prof,NA,4,college of business,All Males,4,>1
2011,marketing,awarded prof,NA,NA,college of business,No One,NA,>1
2011,architecture,assoc prof,4,6,college of design,Both Genders Present,10,>1
2011,architecture,asst prof,2,NA,college of design,All Females,2,>1
2011,architecture,prof,1,6,college of design,Both Genders Present,7,>1
2011,architecture,awarded prof,NA,NA,college of design,No One,NA,>1
2011,commun/reg plan,assoc prof,2,3,college of design,Both Genders Present,5,>1
2011,commun/reg plan,asst prof,1,1,college of design,Both Genders Present,2,>1
2011,commun/reg plan,prof,NA,1,college of design,All Males,1,1
2011,commun/reg plan,awarded prof,NA,NA,college of design,No One,NA,>1
2011,landscape arch,assoc prof,3,2,college of design,Both Genders Present,5,>1
2011,landscape arch,asst prof,1,NA,college of design,All Females,1,1
2011,landscape arch,prof,1,3,college of design,Both Genders Present,4,>1
2011,landscape arch,awarded prof,NA,NA,college of design,No One,NA,>1
2011,aerospace eng,assoc prof,NA,5,college of engineering,All Males,5,>1
2011,aerospace eng,asst prof,NA,2,college of engineering,All Males,2,>1
2011,aerospace eng,prof,NA,13,college of engineering,All Males,13,>1
2011,aerospace eng,awarded prof,NA,NA,college of engineering,No One,NA,>1
2011,chem & bio engr,assoc prof,1,NA,college of engineering,All Females,1,1
