dept,pos_pretty,gender,fiscal_year,sal_cat,n
accounting,Asst Prof,F,2011,100-150K,1
accounting,Asst Prof,F,2012,100-150K,1
accounting,Asst Prof,F,2013,>150K,2
accounting,Asst Prof,F,2014,>150K,2
accounting,Asst Prof,F,2015,>150K,2
accounting,Asst Prof,F,2016,>150K,2
accounting,Asst Prof,F,2017,>150K,3
accounting,Asst Prof,F,2018,>150K,3
accounting,Asst Prof,M,2011,100-150K,4
accounting,Asst Prof,M,2012,100-150K,4
accounting,Asst Prof,M,2013,100-150K,4
accounting,Asst Prof,M,2014,100-150K,1
accounting,Asst Prof,M,2014,>150K,2
accounting,Asst Prof,M,2015,100-150K,1
accounting,Asst Prof,M,2015,>150K,3
accounting,Asst Prof,M,2016,>150K,3
accounting,Asst Prof,M,2017,>150K,1
accounting,Assoc Prof,F,2011,100-150K,1
accounting,Assoc Prof,F,2011,>150K,1
accounting,Assoc Prof,F,2012,100-150K,1
accounting,Assoc Prof,F,2012,>150K,1
accounting,Assoc Prof,F,2013,100-150K,1
accounting,Assoc Prof,F,2013,>150K,2
accounting,Assoc Prof,F,2014,>150K,3
accounting,Assoc Prof,F,2015,>150K,3
accounting,Assoc Prof,F,2016,>150K,3
accounting,Assoc Prof,F,2017,>150K,3
accounting,Assoc Prof,F,2018,>150K,4
accounting,Assoc Prof,M,2011,NA,1
accounting,Assoc Prof,M,2012,>150K,1
accounting,Assoc Prof,M,2013,<50K,1
accounting,Assoc Prof,M,2013,>150K,1
accounting,Assoc Prof,M,2014,>150K,1
accounting,Assoc Prof,M,2016,>150K,1
accounting,Assoc Prof,M,2017,>150K,2
accounting,Assoc Prof,M,2018,>150K,3
accounting,Full Prof,F,2011,>150K,1
accounting,Full Prof,F,2012,>150K,1
accounting,Full Prof,F,2013,>150K,1
accounting,Full Prof,F,2014,>150K,1
accounting,Full Prof,F,2015,>150K,1
accounting,Full Prof,F,2016,>150K,1
accounting,Full Prof,F,2017,50-100K,1
accounting,Full Prof,F,2018,>150K,1
accounting,Full Prof,M,2015,>150K,1
accounting,Full Prof,M,2016,>150K,1
accounting,Full Prof,M,2017,>150K,1
accounting,Named Prof,M,2018,>150K,1
aerospace eng,Asst Prof,F,2013,50-100K,1
aerospace eng,Asst Prof,F,2014,50-100K,1
aerospace eng,Asst Prof,F,2015,50-100K,1
