dept,src2,src1
accounting,d19,d12
admissions,d19,d12
aerospace eng,d19,d12
aeshm,d19,d12
ag & ls admin,d19,d12
ag communicatn,d19,d12
ag education/st,d19,d12
ag exp stn adm,d19,d12
ag/biosys eng,d19,d12
ag/biosys eng-e,d19,NA
agronomy,d19,d12
air frc aero st,d19,d12
alumni assoc,d19,d12
ames laboratory,d19,d12
animal science,d19,d12
architecture,d19,d12
art/visual cult,d19,NA
asst vp st hlh,d19,NA
athletic dept,d19,d12
attending vet,d19,NA
avp enrlmnt mgt,d19,NA
bbmb-agls,d19,d12
bioch/bioph-las,d19,d12
biocty rch farm,d19,NA
bioeconomy inst,d19,d12
biomedical sci,d19,d12
biotechnology,d19,d12
bookstore,d19,NA
brenton center,d19,d12
bus grad prg,d19,d12
bus srvs,d19,NA
bus ungr prg,d19,d12
business,d19,d12
business cs,d19,d12
campus din srv,d19,d12
campus org,d19,NA
card,d19,d12
cc catt ctr,d19,d12
celt,d19,d12
chem & bio engr,d19,d12
chemistry,d19,d12
chemistry store,d19,d12
civ/con/env eng,d19,d12
commun/reg plan,d19,d12
communities ext,d19,d12
computer sc,d19,d12
conf plan & mgt,d19,d12
controllers dpt,d19,NA
coop ext field,d19,d12
counseling srv,d19,d12
county pd ext,d19,d12
csafe,d19,NA
ctr ag law/tax,d19,d12
ctr biornw chem,d19,d12
ctr crops ut rs,d19,d12
ctr ex arts hum,d19,NA
ctr ind rsrch s,d19,NA
ctr nondestr ev,d19,NA
ctr survey stat,d19,NA
ctrfdsecpubhlth,d19,d12
dean of stdt,d19,d12
design adm,d19,d12
destinatn isu,d19,d12
div of finance,d19,NA
econ dev/indust,d19,NA
economics-agls,d19,d12
economics-las,d19,d12
ed talent srch,d19,d12
eeob-agls,d19,d12
eeob-las,d19,d12
elec eng/cp eng,d19,d12
eng-las online,d19,d12
eng career srv,d19,NA
eng ri,d19,d12
eng student srv,d19,NA
engineering adm,d19,d12
english,d19,d12
engr coll relat,d19,d12
engr outreach,d19,NA
engr tech supp,d19,d12
entomology,d19,d12
envir hlth/saf,d19,NA
equal opportunt,d19,d12
ext distributn,d19,d12
ext org adv,d19,NA
ext org dev,d19,NA
ext prof devmt,d19,NA
ext to ag - ext,d19,d12
extension it,d19,d12
fac plan/mgmt,d19,d12
faculty senate,d19,NA
finance,d19,d12
finance ext,d19,d12
food sc/hn-agls,d19,d12
food sc/hn-hsci,d19,d12
gdcb-agls,d19,d12
gdcb-las,d19,d12
geol/atmosph sc,d19,d12
global ag prg,d19,d12
government rel,d19,d12
grad college,d19,d12
grants hub,d19,NA
graphic dsn,d19,NA
greenlee jrn/cm,d19,d12
h sci admin,d19,d12
h sci studnt sr,d19,d12
history,d19,d12
honors prgm,d19,d12
horticulture,d19,d12
human dv/fam st,d19,d12
human rsrc ext,d19,NA
human sci ext,d19,d12
ia nutrnt rsrch,d19,NA
ia st rs farms,d19,d12
ind/mfr sys eng,d19,d12
indust design,d19,NA
inl prop tech t,d19,NA
inst dsn rs/otr,d19,d12
inst research,d19,d12
int engl/or prg,d19,d12
interior dsn,d19,NA
internal audit,d19,d12
intl ed prg,d19,d12
intl stu & schl,d19,d12
intrans,d19,d12
isu pappajn ctr,d19,d12
isu rsrch found,d19,NA
isu rsrch park,d19,NA
it services acd,d19,d12
it services adm,d19,d12
it services cio,d19,d12
it services csv,d19,d12
it services net,d19,d12
it services sec,d19,d12
it services sys,d19,d12
it services uis,d19,d12
kinesiology,d19,d12
lab animal rsrc,d19,d12
landscape arch,d19,d12
